,year,electricity_price,industry_value_added
count,1107.0,1107.0,1107.0
mean,2016.5013550135502,17.67795844625113,25.62033317277806
std,1.710183298520537,10.854812108862397,10.770363630781196
min,2014.0,0.7,4.81791878172589
25%,2015.0,10.6,18.156138629418898
50%,2017.0,15.4,24.2621952863109
75%,2018.0,22.0,31.11355193735755
max,2019.0,99.9,70.5483167543953
