,electricity_price,industry_value_added
count,1107.0,1107.0
mean,17.67795844625113,25.62033317277806
std,10.854812108862397,10.770363630781196
min,0.7,4.81791878172589
25%,10.6,18.156138629418898
50%,15.4,24.2621952863109
75%,22.0,31.11355193735755
max,99.9,70.5483167543953
